Term,Alias1,Alias2,Alias3,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
waitstaff,,,,"The signs, the specials menus, food, and even all the <span class=""AS"">waitstaff</span> are ALL TOTALLY Japanese.","The only concern i have is with the slighly all-business <span class=""AS"">waitstaff</span> who order and throw the food down, rushing you out.","The <span class=""AS"">waitstaff</span> were attentive, polite and helpful - an impressive feat in such close quarters.","The <span class=""AS"">Waitstaff</span> were very nice and suggested swordfish for my husband he enjoyed his meal."
wines,wine,,,"The <span class=""AS"">wine</span> list is extensive and can easily hike up an otherwise reasonably priced meal.","Pair you food with the excellent beers on tap or their well priced <span class=""AS"">wine</span> list.","The <span class=""AS"">wine</span> is always good, the tapas are always yummy, especially with the warm pita bread.","good selection of <span class=""AS"">wines</span> ranging from affordable to high end.","I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and <span class=""AS"">wine</span> for the gods at mortal prices.","If you love <span class=""AS"">wine</span> and cheese and delicious french fare, you'll love Artisanal!","The first 2 courses were very good, but the chocolate sampler was too rich for me and the dessert <span class=""AS"">wine</span> far too sweet.","We recently spent New Year's Eve at the restaurant, and had a great experience, from the <span class=""AS"">wine</span> to the dessert menu.","First the wrong bread came out with the appetizer, then when i tried to order a second glass of <span class=""AS"">wine</span> for my main course...","Decent <span class=""AS"">wine</span> selection too.","Three page <span class=""AS"">wine</span> menu, one page entree and horedevous.","even the <span class=""AS"">wine</span> by the glass was good.","The <span class=""AS"">wine</span> the service was very good too.","The food is great and they have a good selecion of <span class=""AS"">wines</span> at reasonable prices.","The boutique selection of <span class=""AS"">wines</span> covers a wide variety without being imposeing.","The <span class=""AS"">wine</span> list is extensive and impressive.","pre-theatre 3-course dinner with <span class=""AS"">wine</span> flight.","Not enough <span class=""AS"">wines</span> by the glass either.","great food, great <span class=""AS"">wine</span> list, great service in a great neighborhood...","It has good music, nice tapas, an interesting selection of <span class=""AS"">wines</span> (primarily Spanish) and a lowkey hip neighborhood clientele."
wine list,,,,"The <span class=""AS"">wine list</span> is extensive and can easily hike up an otherwise reasonably priced meal.","The <span class=""AS"">wine list</span> is extensive and impressive.","The <span class=""AS"">wine list</span> was superb, our tapas delightful, and the quiet atmosphere perfect for good conversation.","great <span class=""AS"">wine list</span> (italian), good food, service was INITIALLY fine.","The <span class=""AS"">wine list</span> is also really nice.","The <span class=""AS"">wine list</span> is interesting and has many good values.","The tables are crammed way too close, the menu is typical of any Italian restaurant, and the <span class=""AS"">wine list</span> is simply overpriced.","Decor is nice and minimalist, food simple yet very well presented and cooked, and the <span class=""AS"">wine list</span> matches the food very well.","The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the <span class=""AS"">wine list</span> is extensive and well priced.","The <span class=""AS"">wine list</span> is extensive and impressive.","The <span class=""AS"">wine list</span> isn't great, and the desserts are shipped in from Bruno's down the street, which is not as good as it used to be.","The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the <span class=""AS"">wine list</span> is extensive and well priced.","The <span class=""AS"">wine list</span> was extensive - though the staff did not seem knowledgeable about wine pairings.","The <span class=""AS"">wine list</span> is also really nice.","i don't usually order wine with indian so i can't comment on their <span class=""AS"">wine list</span> or their wines.","Somewhat disappointing <span class=""AS"">wine list</span> (only new vintages.","For instance, plates were just dumped on the table, I was handed the <span class=""AS"">wine list</span> upside down, etc....","The <span class=""AS"">wine list</span> is excellent.","i don't usually order wine with indian so i can't comment on their <span class=""AS"">wine list</span> or their wines.","The place has a nice fit-out, some attractive furnishings and, from what I could tell, a reasonable <span class=""AS"">wine list</span> (I was given the food menu when I asked for the carte des vins)"
owners,owner,,,"Same <span class=""AS"">owner</span> as the guy who owns Typhoon, which is just down the street on St. Marks and 1st Ave.","The <span class=""AS"">owner</span> and staff are all Japanese as well and that adds to the entire ambiance.","This is a typical example of an establishment in which its <span class=""AS"">owners</span> do not know anything about the restaurant business!","I highly recommend it for not just its superb cuisine, but also for its friendly <span class=""AS"">owners</span> and staff.","May, the <span class=""AS"">owner</span> always has a smile on her and will warmly greet you.","Has the chef and <span class=""AS"">owner</span> changed???","Plus, when our entrees were held up in the kitchen on a busy Saturday night, the <span class=""AS"">owner</span> sent over complimentary summer rolls to hold us over!","The <span class=""AS"">owner</span> and staff are all Japanese as well and that adds to the entire ambiance.","Best of all is the warm vibe, the <span class=""AS"">owner</span> is super friendly and service is fast.","The <span class=""AS"">owners</span> and employees are friendly and their pizza is fantastic.","The <span class=""AS"">owner</span> is very friendly and a great guy, go try his pizza, you'll like it!","This place must have cost the <span class=""AS"">owners</span> afortune to build.","Best of all is the warm vibe, the <span class=""AS"">owner</span> is super friendly and service is fast.","The service is always great, and the <span class=""AS"">owner</span> walks around to make sure you enjoy.","The <span class=""AS"">owner</span> and staff go to great lengths to make you feel comfortable.","This place must have cost the <span class=""AS"">owners</span> afortune to build.","the food was mediocre to be kind - the interior is small and average - the <span class=""AS"">owners</span> are a tag-team of unpleasantries - so rude and snotty","The waiters and <span class=""AS"">owners</span> were nonchalant about this and promised to call the exterminator but weren't as dismayed or apologetic as I would have expected.","Kenny the <span class=""AS"">owner</span> is always there and he treats my family like we are part of his family.","The <span class=""AS"">owner</span> truly caters to all your needs."
bartender,,,,"The only thing that my friend left out is that when we sat down at the bar the <span class=""AS"">bartender</span> disappeared.","said the <span class=""AS"">bartender</span> took it.","Meanwhile, the <span class=""AS"">bartender</span> continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis.","(Always ask the <span class=""AS"">bartender</span> for the SEASONAL beer!!!","And Kruno, the beverage manager is the best <span class=""AS"">bartender</span> I have yet to come across.","Ask for Usha, the nicest <span class=""AS"">bartender</span> in manhattan.","So we sat at the bar, the <span class=""AS"">bartender</span> didn't seem like he wanted to be there.","Mine tasted like the <span class=""AS"">bartender</span> had forgotten to add the tequila.","The <span class=""AS"">bartender</span> on my most recent visit was so incredibly rude that I will never go back.","Ask for Usha, the nicest <span class=""AS"">bartender</span> in manhattan.","The music was fascinating, but left room for conversation, and the <span class=""AS"">bartender</span> made superb drinks.","Would you ever believe that when you complain about over an hour wait, when they tell you it will be 20-30 minutes, the manager tells the <span class=""AS"">bartender</span> to spill the drinks you just paid for?"
wan,,,,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional <span class=""AS"">wan</span> warm."
spice,,,,"INDIAN <span class=""AS"">SPICE</span> RAVE""","But after last night, <span class=""AS"">Spice</span> Grill is the only place I'm eating indian cuisine.","The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the <span class=""AS"">spice</span> took away from the flavor of the dish.","But after last night, <span class=""AS"">Spice</span> Grill is the only place I'm eating indian cuisine.","I've been to at Cafe <span class=""AS"">Spice</span> probably 5-8 times, it is probably still the best Indian restaurant around Union Square.","You get what you pay for and with that logic in mind, <span class=""AS"">Spice</span> is a great place to grab some cheap eats and drinks in a beautiful setting."
fix,,,,"The staff is very kind and well trained, they're fast, they are always prompt to jump behind the bar and <span class=""AS"">fix</span> drinks, they know details of every item in the menu and make excelent recomendations.","I book a gorgeous white organza tent which included a four course prix <span class=""AS"">fix</span> menu which we enjoyed a lot.","The Steak Tartare is a great bet, they <span class=""AS"">fix</span> it for you at the table.","Monday nights are a bargain at the $28 prix <span class=""AS"">fix</span> - this includes a three course meal plus *three* glasses of wine paired with each course."
atomosphere,,,,"Cozy romantic <span class=""AS"">atomosphere</span> with only around 15 tables at most.","Cozy romantic <span class=""AS"">atomosphere</span> with only around 15 tables at most.","Though you will undoubtedly be seated at a table with what seems like barely enough room (no matter what the size of your party), the warm <span class=""AS"">atomosphere</span> is worth the cramped"
beers,beer,,,"Pair you food with the excellent <span class=""AS"">beers</span> on tap or their well priced wine list.","Wow over 100 <span class=""AS"">beers</span> to choose from.","instead ordered an ice cold <span class=""AS"">beer</span> which to me works with indian.","Ummm...the <span class=""AS"">beer</span> was cold.","I am a 100 lb girl, had a glass of wine and a glass of <span class=""AS"">beer</span> prior to the dinner, and I was still HUNGRY after my visit to this place!","The have over 100 different <span class=""AS"">beers</span> to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.","The bar is very well stocked with interesting <span class=""AS"">beers</span> and well priced wines.","After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full <span class=""AS"">beers</span> yet to drink), the manager approached and told us they needed the table for people with reservations.","instead ordered an ice cold <span class=""AS"">beer</span> which to me works with indian.","There was no tap <span class=""AS"">beer</span> that evening, which was a disappointment.","I started out with a Bombay <span class=""AS"">beer</span> which was big enough for two.","Only wine and <span class=""AS"">beer</span> are served, but the house varities are actually quite good.","I started out with a Bombay <span class=""AS"">beer</span> which was big enough for two."
flavors,flavor,,,"The <span class=""AS"">flavors</span> robust and subtle.","It was good, but none of the <span class=""AS"">flavors</span> WOW.","The <span class=""AS"">flavors</span> robust and subtle.","The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the <span class=""AS"">flavor</span> of the dish.","The Italian food has <span class=""AS"">flavor</span> (that can be sort of surprising on the UES), and the service turns from a nightmare to attentive,they sort of remind me of the NY Yankees of the late 90's,","The steak was excellent and one of the best I have had (I tasted the butter intitally but in no way did it overwhelm the <span class=""AS"">flavor</span> of the meat).","The Singapore Mai Fun had NO curry <span class=""AS"">flavor</span> whatsoever.","You rarely have to wait for a seat and the currys (masaman, green, red) are full of <span class=""AS"">flavor</span> and come super spicy if you ask for it.","I ordered tamarind duck and my wife ordered noodles with ground beef, and we were both delighted by the way the dishes evoked Thai <span class=""AS"">flavors</span> in unexpected ways.","The menu choices are similar but the taste lacked more <span class=""AS"">flavor</span> than it looked.","The <span class=""AS"">flavors</span> are very fresh and pretty inobtrusive, nothing flashy.","Had no <span class=""AS"">flavor</span> and the staff is rude and not attentive."
food restaurant,,,,"So all I'm trying to say is this restaurant is by far the best thai <span class=""AS"">food restaurant</span> I've ever been to.","This place doesn't get the publicity that Sylvias Soul <span class=""AS"">Food restaurant</span> does, but it should."
prix fixe,,,,"The <span class=""AS"">Prix Fixe</span> menu is worth every penny and you get more than enough (both in quantity AND quality).","The <span class=""AS"">Prix Fixe</span> menu is worth every penny and you get more than enough (both in quantity AND quality).","Even with the <span class=""AS"">prix fixe</span> pricing, this restaurant is not worth it.","We go on Mondays for the <span class=""AS"">prix fixe</span> and our experience with the food has been comparable to Blue Ribbon.","I went for restaurant week and ordered off the <span class=""AS"">prix fixe</span> menu","Dahkin also offers <span class=""AS"">prix fixe</span> lunch and buffet."
scene,,,,"I live in the neighborhood and my friends meet me down here not only for the bar <span class=""AS"">scene</span> but also the promise of The Pizza Place at 3am.","And everytime I go there's a bunch of drunk idiots making a <span class=""AS"">scene</span> out front.","The place itself is beautiful the bar <span class=""AS"">scene</span> seems to be happening.","This is definitely an  excellent date spot because of the ambiance and on the weekends the  night <span class=""AS"">scene</span> is more than alive.","The place itself is beautiful the bar <span class=""AS"">scene</span> seems to be happening.","It is quite a spectacular <span class=""AS"">scene</span> i'll give them that."
need,,,,"Lahore is a great place to duck into late-night when you <span class=""AS"">need</span> some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.","Chef Vincenzo, always there if you <span class=""AS"">need</span> him, is a real talent and a real Roman.","I <span class=""AS"">need</span> at least three rolls to be full, and that's at least $14.00!","but they <span class=""AS"">need</span> to get their act together.","When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants, he replied this is not Mcdonald's, every place makes things differently While it is understandable that every place is indeed different, there was not a <span class=""AS"">need</span> to be uncourteous to customers and downright rude.","Aside from the bearded, courdoroy blazer professor type with the NYU student he's sleeping with that week, you see a strange mix of hipsters, frat boys, Will Smith types who <span class=""AS"">need</span> to be told they are black, bitter cougars who cant understand why they arent married yet....","With so many good restaurants on the UWS, I don't <span class=""AS"">need</span> overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.","When my husband and go there, we spend $60.00 (have LOBSTER TAILS UMMMMM <span class=""AS"">need</span> I say more)","They <span class=""AS"">need</span> a kick out of it but until then the sushi is pretty good and the place is consistent.","there's no <span class=""AS"">need</span> to.","great toppings definitely a place you <span class=""AS"">need</span> to check out for late night munchies or a mid day boost!","We do not <span class=""AS"">need</span> to go to a four-star restaurant anymore.","Great idea and base for restaurant, but work on the details, people who think this was good <span class=""AS"">need</span> to go back to the shore towns and rethink what it should have tasted like.","And you never get the feeling that you <span class=""AS"">need</span> to leave.","I understand the area and folks you <span class=""AS"">need</span> not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.","Whenever you <span class=""AS"">need</span> a Sushi fix, Mizu will be there with quality fish and great service.","Restaurant snobs <span class=""AS"">need</span> not bother, this is a small, neighborhood kind of place.","While it is understandable that every place is indeed different, there was not a <span class=""AS"">need</span> to be uncourteous to customers and downright rude.","because the waiters <span class=""AS"">need</span> SEVERE ATTITUE ADJUSTMENTS.","you <span class=""AS"">need</span> to taste it!!!"
idea,,,,"It is obvious that no one in the restaurant has any <span class=""AS"">idea</span> about or experience with Japanese cuisine.","It is obvious that no one in the restaurant has any <span class=""AS"">idea</span> about or experience with Japanese cuisine.","I have no <span class=""AS"">idea</span> why this restaurant is so often overlooked.","If you've ever been along the river in Weehawken you have an <span class=""AS"">idea</span> of the top of view the chart house has to offer.","Great <span class=""AS"">idea</span> and base for restaurant, but work on the details, people who think this was good need to go back to the shore towns and rethink what it should have tasted like.","To give you an <span class=""AS"">idea</span> of how good we thought it was, we ended up going to Ping's three weekends in a row!!!","Either that, or the editor's <span class=""AS"">idea</span> of romance must be sharing a conversation with the next table, while trying to speak louder than the traffic on 57th."
english,,,,"from an <span class=""AS"">English</span> speaking staff.","There are a few Italian employees who may not speak the best <span class=""AS"">English</span> but for me that adds to the experience.","In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and <span class=""AS"">English</span> muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham."
alot,,,,"Seating is ok even though sometimes there's <span class=""AS"">alot</span> of people.","The production is a symphony, <span class=""AS"">alot</span> of fun to experience.","For being number 1, this place has <span class=""AS"">alot</span> of work to do in order to truly earn its so called reputation."
bathroom,,,,"oh speaking of <span class=""AS"">bathroom</span> , the mens bathroom was disgusting.","The staff has been nice, but they seemed really stressed and the unisex <span class=""AS"">bathroom</span> needs to be cleaned more often.","The staff has been nice, but they seemed really stressed and the unisex <span class=""AS"">bathroom</span> needs to be cleaned more often.","The waitress moved our table practically into the <span class=""AS"">bathroom</span> and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no..."
reason,,,,"i have eaten here a handful of times, for no <span class=""AS"">reason</span> besides sheer convenience.","Whatever the <span class=""AS"">reason</span> it is definitely the place to be.","The <span class=""AS"">reason</span> there are 4 different results on citysearch for the same place is because they keep trying to start a new thread so they can stock it with positive reviews.","For some <span class=""AS"">reason</span> the place was empty when we got in and remained so for the entire evening, I don't understand why","It was huge, delicious, fresh, and will be the <span class=""AS"">reason</span> we return.","For a restaurant with such a good reputation and that is usually so packed, there was no <span class=""AS"">reason</span> for such a lack of intelligent customer service.","All the various Greek and Cypriot dishes are excellent, but the gyro is the <span class=""AS"">reason</span> to come--if you don't eat one your trip was wasted.","To top it all off.. the main <span class=""AS"">reason</span> we came to your restaurant was for the belly dancers and missed the first show as we were not seated yet and the 2nd belly dancer only danced at two tables in the back of the restaurant and never made it around to the other half of the restaurant.","The hot dogs are good, yes, but the <span class=""AS"">reason</span> to get over here is the fantastic pork croquette sandwich, perfect on its supermarket squishy bun."
host,,,,"This is a nice restaurant if you are looking for a good place to <span class=""AS"">host</span> an intimate dinner meeting with business associates.","The <span class=""AS"">host</span> (owner) and servers are personable and caring.","This is a nice restaurant if you are looking for a good place to <span class=""AS"">host</span> an intimate dinner meeting with business associates.","My <span class=""AS"">host</span> asked for appetizers for the group and the waiter gave us not only what we ordered, but some other items that were not ordered.","Normally that would be improper, however they were all delicious and my <span class=""AS"">host</span> did not complain."
afternoon,,,,"I went there in late <span class=""AS"">afternoon</span> for some bite size food and refleshment with my date.","I went here in the <span class=""AS"">afternoon</span> with a friend.","Food is excellent and they also have empenadas and plaintains which are good for an <span class=""AS"">afternoon</span> snack.","I went to Areo on a Sunday <span class=""AS"">afternoon</span> with four of my girlfriends, and spent three enjoyable hours there.","They honored reservation on Sunday <span class=""AS"">afternoon</span> very well.","I have eaten here several times before attending an <span class=""AS"">afternoon</span> performance.","This was the perfect quiet, relaxing, and delicious accompaniment to our <span class=""AS"">afternoon</span> of theater.","I went to Areo on a Sunday <span class=""AS"">afternoon</span> with four of my girlfriends, and spent three enjoyable hours there.","This was the perfect quiet, relaxing, and delicious accompaniment to our <span class=""AS"">afternoon</span> of theater."
garden,,,,"Chennai <span class=""AS"">Garden</span> is my favorite Indian restaurant in the city.","It was pleasantly uncrowded, the service was delightful, the <span class=""AS"">garden</span> adorable, the food (from appetizers to entrees) was delectable.","if you happen to be by Madison Square <span class=""AS"">Garden</span> or Herald's Square check it out!","THe back <span class=""AS"">garden</span> sitting area is very pleasant, where you can see their personal herb garden.","Chennai <span class=""AS"">Garden</span> is my favorite Indian restaurant in the city.","In the summer months, the back <span class=""AS"">garden</span> area is really nice.","All toppings are so fresh you'd think they had their own vegetable <span class=""AS"">garden</span> and the crust is so perfect, that one actually thinks of how it was made.","They tell me they are going to cover the <span class=""AS"">garden</span> in glass for the winter, so i'm looking forward to going there on a snowy night to enjoy it.","Even if the food wasn't this good, the <span class=""AS"">garden</span> is a great place to sit outside and relax."
joints,joint,,,"Everything a NY pizza <span class=""AS"">joint</span> should be.","An excellent alternative to fast food <span class=""AS"">joints</span> and ordering in","I only tried a simple dish of spinach ravioli in a light oil and garlic sauce, but it actually faired better than most NYC Italian <span class=""AS"">joints</span> I've tried similar dishes at.","I have tried the various slice <span class=""AS"">joints</span> around the village but this is by far the best one.","I had a late dinner at Lucky Stike, a great name for a <span class=""AS"">joint</span> if ever I saw one.","I have eaten at some of the 'best' sushi <span class=""AS"">joints</span> in NYC (Nobu, Bond Street, JewelBako, etc) and Yamato is my favorite.","Service is not what one would expect from a <span class=""AS"">joint</span> in this price category.","Tuk Tuk is one of those comfortable neighborhood <span class=""AS"">joints</span> where you know you will always have a good meal at a fair price.","I will have to say, this Bengali Fast Food <span class=""AS"">joint</span> is clearly my favorite.","Got a little loud after 8pm when the <span class=""AS"">joint</span> got full."
toppings,topping,,,"A large is $20, and <span class=""AS"">toppings</span> are about $3 each.","Pizza - the only pizza in NYC that should not have additional <span class=""AS"">toppings</span> - the crust tastes like the best, freshly baked bread!","A large is $20, and <span class=""AS"">toppings</span> are about $3 each.","Spreads and <span class=""AS"">toppings</span> are great - though a bit pricey.","The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn <span class=""AS"">topping</span> before I'd eat another one of these.","great <span class=""AS"">toppings</span> definitely a place you need to check out for late night munchies or a mid day boost!","All <span class=""AS"">toppings</span> are so fresh you'd think they had their own vegetable garden and the crust is so perfect, that one actually thinks of how it was made.","Pizza - the only pizza in NYC that should not have additional <span class=""AS"">toppings</span> - the crust tastes like the best, freshly baked bread!"
date spot,,,,"Would recommend this place as a good <span class=""AS"">date spot</span> if you don't want to drop a ton of cash.","This is the perfect <span class=""AS"">date spot</span> for Williamsburg couples.","This is definitely an  excellent <span class=""AS"">date spot</span> because of the ambiance and on the weekends the  night scene is more than alive."
combinations,combination,,,"The <span class=""AS"">combination</span> of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.","Went there and had a <span class=""AS"">combination</span> of different seafood dishes and appetizers.","Good atmosphere, <span class=""AS"">combination</span> of all the hottest music dress code is relatively strict except on Fridays.","The fillings may be unconventional but the dosa batter is definitely authentic and the <span class=""AS"">combinations</span> very tasty.","The <span class=""AS"">combination</span> of super-fresh ingredients in the dishes are unusual but really delicious.","The chicken and falafel platters were nondescript <span class=""AS"">combinations</span> with fresh leaf salad."
dough,,,,"The combination of fresh tomato sauce, fresh mozz cheese, basil and the <span class=""AS"">dough</span> they make with imported flour, makes this is one of the better pizza's in NY.","Try the congee and the donut like deep fried <span class=""AS"">dough</span> they call Ow Ley Soh, a delicious and sweet tasting bread.","Try the congee and the donut like deep fried <span class=""AS"">dough</span> they call Ow Ley Soh, a delicious and sweet tasting bread."
vibe,,,,"It may be a bit packed on weekends, but the <span class=""AS"">vibe</span> is good and it is the best French food you will find in the area.","It may be a bit packed on weekends, but the <span class=""AS"">vibe</span> is good and it is the best French food you will find in the area.","The <span class=""AS"">vibe</span> is very relaxed and cozy, service was great and the food was excellent!"
slice,,,,"The ingredients taste fresher, the crust is thinner and crispier, the <span class=""AS"">slice</span> is less oily, and it's never burnt like it occasionally is at Joe's.","The plain <span class=""AS"">slice</span> is great and if you get toppings, the whole slice is topped with them, not sparsely sprinkled on like some places.","but i would say that i was full with a <span class=""AS"">slice</span> of pizza and 7 to count","I have tried the various <span class=""AS"">slice</span> joints around the village but this is by far the best one.","Also, top the meal with a delicious and perfect <span class=""AS"">slice</span> of tiramisu.","Joe's Pizza used to have the best <span class=""AS"">slice</span> until this pizzeria opened up.","A quintessential <span class=""AS"">slice</span> of NYC pizza."
mix,,,,"We are very particular about sushi and were both please with every choice which included: ceviche <span class=""AS"">mix</span> (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.","A plus was the good <span class=""AS"">mix</span> of people in their twenties that provided for great eye-candy while I was there.","Aside from the bearded, courdoroy blazer professor type with the NYU student he's sleeping with that week, you see a strange <span class=""AS"">mix</span> of hipsters, frat boys, Will Smith types who need to be told they are black, bitter cougars who cant understand why they arent married yet....","The Black Sheep distinguishes itself from the Midtown pub herd with a look that's a <span class=""AS"">mix</span> of sports-bar butch and ornate kitsch."
establishment,,,,"I got the opportunity to dine at your <span class=""AS"">establishment</span> again a few weeks ago, I was in your upstrairs dining area.","The atmosphere is nothing special, but it feels like a Sushi <span class=""AS"">establishment</span> in Tokyo.","This is a typical example of an <span class=""AS"">establishment</span> in which its owners do not know anything about the restaurant business!","The <span class=""AS"">establishment</span> scores big points in presentation and style.","She lives nearby but had never gone to this <span class=""AS"">establishment</span> thinking that it might be too touristy.","This <span class=""AS"">establishment</span> is the real deal.","The atmosphere is nothing special, but it feels like a Sushi <span class=""AS"">establishment</span> in Tokyo."
salmon,,,,"I ordered the smoked <span class=""AS"">salmon</span> and roe appetizer and it was off flavor.","I did not try the caviar but I tried their <span class=""AS"">salmon</span> and crab salad","I had the <span class=""AS"">salmon</span> dish and while it was fine, for the price paid, I expected it to have some type of flavor.","Small servings for main entree, i had <span class=""AS"">salmon</span> (wasnt impressed) girlfriend had chicken, it was good.","Interesting other dishes for a change include chicken in curry sauce and <span class=""AS"">salmon</span> caserole.","However, service was as plain as sesame crusted <span class=""AS"">Salmon</span> I had.","Small servings for main entree, i had <span class=""AS"">salmon</span> (wasnt impressed) girlfriend had chicken, it was good.","I picked the Grilled Black Cod as my entree, which I absolutely devoured while someone commented that the Grilled <span class=""AS"">Salmon</span> dish was better.","The barebecued <span class=""AS"">salmon</span> is elegantly spiced and not at all dry.","I found the food to be outstanding, particulary the <span class=""AS"">salmon</span> dish I had.","My turkey burger was not cooked at all, my friends <span class=""AS"">salmon</span> was completely raw.","Overall the food quality was pretty good, though I hear the <span class=""AS"">salmon</span> is much better when it hasn't sat cooling in front of the guest.","My boyfriend asked me if I wanted to switch and eat his <span class=""AS"">salmon</span> instead, while he de-skinned the chicken so that I could enjoy the white meat.","I recommend any of their <span class=""AS"">salmon</span> dishes......","I ordered the smoked <span class=""AS"">salmon</span> and roe appetizer and it was off flavor."
clams,clam,,,"The baked <span class=""AS"">clams</span> octopus we shared as appetizers were the best we've ever had!!","And the fried <span class=""AS"">clams</span> had just enough kick to them to make 'em worth eating.","The appetizers we ordered were served quickly - an order of fried oysters and <span class=""AS"">clams</span> were delicious but a tiny portion (maybe 3 of each).","I ate <span class=""AS"">clams</span> oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil."
downtown friend,,,,"After reading the great reviews, I invited a die-hard <span class=""AS"">downtown friend</span> of mine to join me at TASTE."
deal,,,,"While this can hardly be called a restaurant, it is possibly the best <span class=""AS"">deal</span> in Manhatten: $4 for a plate heaped with rice and 2-3 entrees.","The all you can eat <span class=""AS"">deal</span> is truly amazing here.","overall, a solid restaurant and at less than $40pp (including wine), a solid <span class=""AS"">deal</span> as well.","The service was great, and they have a whole great <span class=""AS"">deal</span> for birthdays.","IT is the best <span class=""AS"">deal</span> in town for a Monday night dinner at a fine restaurant.","We took advanatage of the half price sushi <span class=""AS"">deal</span> on saturday so it was well worth it.","We took advanatage of the half price sushi <span class=""AS"">deal</span> on saturday so it was well worth it.","A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great <span class=""AS"">deal</span> of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.","so I don't have to <span class=""AS"">deal</span> with crowds or lines.","While it's not Nobu, it sure is a great <span class=""AS"">deal</span> and you definitely will leave feeling satisfied and full.","Coffee is a better <span class=""AS"">deal</span> than overpriced Cosi sandwiches."
mushrooms,mushroom,,,"the <span class=""AS"">mushroom</span> barley soup is amazing.","They smell like they stuff them with old canned vegetables like the spinach <span class=""AS"">mushroom</span> calzone.","They smell like they stuff them with old canned vegetables like the spinach <span class=""AS"">mushroom</span> calzone.","The porcini <span class=""AS"">mushroom</span> pasta special was tasteless, so was the seafood tagliatelle.","Innovations are just as assured, from the simple Carinthia cheese ravioli with wild <span class=""AS"">mushrooms</span> to the caviar-topped sturgeon, beautifully matched with a bright green spinach-vodka sauce.","My friend got the <span class=""AS"">mushroom</span> pizza which tasted better.","The chicken parm was edible but had canned tomato sauce and boxed pasta and the chicken with portobello <span class=""AS"">mushrooms</span> consisted of dry, inedible chicken with terrible sauce.","The porcini <span class=""AS"">mushroom</span> pasta special was tasteless, so was the seafood tagliatelle.","The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh <span class=""AS"">mushrooms</span> and vegetables.","The veal and the <span class=""AS"">mushrooms</span> were cooked perfectly."
entertainment,,,,"The <span class=""AS"">entertainment</span> was great they have shows that go on through out the dinner.","It is a lot of fun with live <span class=""AS"">entertainment</span> and all kinds of Disney type special effects.","It is a lot of fun with live <span class=""AS"">entertainment</span> and all kinds of Disney type special effects.","Our family never expected such incredible <span class=""AS"">entertainment</span> in a restaurant.","Great for large groups and celebrations - our SUPER HAPPY waiter was the <span class=""AS"">entertainment</span> of the evening.","Once we sailed, the top-notch food and live <span class=""AS"">entertainment</span> sold us on a unforgettable evening."
jazz,,,,"Its dark, and cozy.. there is always <span class=""AS"">jazz</span> music playing when we go.","A new <span class=""AS"">Jazz</span> Bar, the most fantastic Dining Garden, the Best Thin Crust Pizzas, and now a Lasagna Menu which is to die for (these are not your average lasagnas)!","whoever the <span class=""AS"">jazz</span> duo was, they were on POINT.","Love the <span class=""AS"">Jazz</span> bands on Fri and Sat.","This is the only Thai place I go too in NYC, it's wonderful, and live relaxed <span class=""AS"">Jazz</span> on certain nights.","Super friendly and knowledgable staff, fabulous bistro fare and a wonderful <span class=""AS"">jazz</span> brunch with great live jazz (the chilaquiles were awesome!","The first time I went, and was completely taken by the live <span class=""AS"">jazz</span> band and atmosphere, I ordered the Lobster Cobb Salad.","The space is a bit too small for live music, so on  <span class=""AS"">jazz</span> nights, it can be loud and cramped."
